Required,Required,Required,Required,Required,Required
9,1,1,1,1,"9 units"
CHEM245,CHEM101,MATH100,PHYS102A,PHYS102B,EOS300+
EOS201,CHEM150,MATH109,PHYS110,PHYS111,
EOS202,,,PHYS120,PHYS130,
EOS205,,,,,
EOS240,,,,,
CHEM102,,,,,
EOS110,,,,,
EOS120,,,,,
MATH101,,,,,
