Required,Required,Required,Required,Required,Required,Required
4,1,1,1,1,2,4.5 units
EOS120,CHEM101,MATH100,PHYS102A,PHYS102B,EOS201,EOS300+
MATH101,CHEM150,MATH109,PHYS110,PHYS111,EOS202,
CHEM102,,,PHYS120,PHYS130,EOS240,
EOS205,,,,,,
,,,,,,
